id_carta,id_mazo,numero_copias,banquillo
945,1,2,f
43856,1,2,t
18662,1,2,f
42578,1,1,t
13623,1,4,t
16163,1,2,t
16784,1,1,t
25390,1,2,f
18198,1,1,f
11631,1,4,t
25965,1,3,f
21536,1,2,t
38232,1,1,t
45512,1,4,t
1893,1,2,t
21516,1,4,t
11667,1,2,f
34795,1,1,f
23309,1,1,f
28209,1,4,f
12487,1,2,t
39665,1,4,f
42163,1,3,t
45972,1,4,f
28615,1,3,f
32558,1,1,t
40780,1,1,t
2629,1,3,f
28013,1,1,t
34443,1,2,f
26616,1,2,f
34677,1,1,f
11765,1,1,f
38257,1,4,f
9889,1,4,t
26851,1,2,f
29053,1,4,t
871,1,1,f
12824,1,2,t
13177,1,1,f
24499,2,3,t
695,2,3,t
41770,2,4,f
4279,2,2,f
40400,2,2,f
43787,2,2,t
16659,2,4,f
2105,2,1,t
17375,2,2,t
35439,2,2,t
34804,2,2,t
32016,2,1,f
2896,2,2,f
3916,2,1,f
19918,2,3,t
27838,2,3,t
6258,2,4,f
4079,2,4,t
7601,2,4,f
1165,2,2,t
36606,2,3,f
38019,2,4,f
38531,2,2,t
38652,2,1,f
16601,2,4,f
41453,2,2,t
37385,2,3,t
27922,2,1,f
38890,2,3,f
3157,2,2,f
20524,2,3,t
3263,2,3,t
31298,2,1,t
2331,2,4,f
23160,2,3,f
38220,2,1,f
20066,2,4,t
17817,2,4,f
31458,2,4,t
34497,2,1,f
36788,3,2,t
29633,3,2,t
24368,3,1,f
28986,3,2,f
5209,3,1,t
35860,3,3,t
7408,3,2,f
36657,3,4,t
42872,3,4,t
38270,3,3,f
44572,3,3,f
5847,3,2,t
43779,3,2,t
44401,3,2,f
8392,3,3,f
5145,3,4,t
11061,3,3,t
4173,3,3,t
24437,3,2,f
7957,3,3,t
36280,3,4,f
5774,3,3,t
6857,3,2,t
28867,3,4,t
33458,3,3,f
12123,3,2,f
8736,3,4,f
37661,3,2,f
643,3,1,f
3816,3,3,t
24395,3,2,f
21773,3,3,t
23357,3,1,f
17624,3,2,f
21581,3,4,f
9025,3,1,t
44283,3,1,f
13493,3,2,f
12163,3,4,f
34121,3,1,f
22701,4,4,f
34181,4,3,f
21160,4,3,f
23269,4,1,f
18774,4,1,t
21913,4,3,f
33109,4,1,t
19179,4,1,f
1378,4,3,f
7087,4,3,f
7587,4,1,t
42401,4,3,t
17347,4,2,t
38294,4,4,f
36794,4,2,f
21398,4,1,f
27474,4,2,t
15574,4,2,f
6927,4,2,t
19071,4,1,t
19719,4,4,f
12052,4,3,f
15086,4,3,t
17643,4,2,f
5305,4,3,f
44531,4,4,t
36479,4,1,f
23840,4,4,f
17514,4,4,f
3370,4,4,f
